GEO_ID,ID,NAME,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,Total_Pop,Total_Pop_Error,White_Only_Pop,White_Only_Pop_Error,White_Pop,White_Pop_Error,Black_or_African_American_Pop,Black_or_African_American_Pop_Error,Asian_Pop,Asian_Pop_Error,Hispanic_or_Latino_Pop,Hispanic_or_Latino_Pop_Error,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS
1400000US25025000806,25025000806,"Census Tract 8.06, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2612,350,1503,286,1700,287,311,111,614,168,296,94,7.23350109589041,57.78632,0.537053224,30.0,0.4,4235.977781864604,2160.224120259128,53.0,0.060989643268124,0.079386888205375,0.164614906878803,32.17334837524847,6.358459108848377,0.01792716575355
1400000US25025000807,25025000807,"Census Tract 8.07, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3657,773,2269,498,2476,522,391,198,816,336,398,206,7.23350109589041,57.78632,0.537053224,30.0,0.4,4424.351768,4415.075045,0.0,0.0,0.089256607,0.201920523,43.52850186,4.142781105,0.018009824
1400000US25025010103,25025010103,"Census Tract 101.03, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3678,561,2335,390,2515,397,206,112,995,287,510,273,7.24359534246575,58.00844,0.548054491,30.0,0.4,4266.608370846285,3609.5117937824143,132.0,0.248120300751879,0.091240279635512,0.276566567757292,46.85170961041729,18.609483265369168,0.016280499111561
1400000US25025010104,25025010104,"Census Tract 101.04, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,4896,545,3365,393,3763,435,186,92,927,191,530,205,7.24175068493151,58.157,0.587049103,30.0,0.4,4138.868013028046,6475.11498970788,1597.0,0.864177489177489,0.090115292018171,0.329498854121667,48.27062180574363,22.010453606934625,0.011160981218843
1400000US25025010204,25025010204,"Census Tract 102.04, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3474,413,2450,424,2611,410,152,78,701,169,374,119,7.25048547945205,58.04694,0.543288198,30.0,0.4,4347.759538168168,4081.8864593952953,787.0,0.660789252728799,0.094114413212315,0.274563268975893,47.26904695868719,15.833781973786811,0.008609702108336
1400000US25025010205,25025010205,"Census Tract 102.05, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3952,575,2055,487,2445,641,271,178,1475,428,329,170,7.2547504109589,58.13898,0.555030058,30.0,0.4,4292.882867139013,2043.5105663750508,1180.0,0.454370427416249,0.097340220882185,0.324985393085609,56.00771052912759,27.3831701450958,0.004761521964533
1400000US25025010206,25025010206,"Census Tract 102.06, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2039,687,1383,657,1383,657,273,342,240,240,575,396,7.2547504109589,58.13898,0.555030058,30.0,0.4,4144.426389406686,5505.233123674096,677.0,0.514437689969604,0.09373599547493,0.351223877704735,53.29621532253481,25.056462769568245,0.005985761362117
1400000US25025010300,25025010300,"Census Tract 103, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,5374,815,3852,688,4090,675,447,147,809,164,399,101,7.26147726027397,58.06584,0.539040956,40.0,0.4,4368.693956336289,1305.1745222082527,184.0,0.727272727272727,0.101261979348631,0.325943049241034,60.881536905383726,13.194368107900116,0.003660819150791
1400000US25025010403,25025010403,"Census Tract 104.03, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2550,497,1488,310,1739,466,150,94,542,199,356,109,7.25428794520548,58.26421,0.594474551,30.0,0.4,4019.3,4844.382675214847,893.0,0.444942700548081,0.093524700937716,0.41879228436804,51.19136911558351,26.425711150025165,0.004572089068575
1400000US25025010404,25025010404,"Census Tract 104.04, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,4934,492,2897,413,3109,422,269,108,1515,355,412,135,7.26131178082192,58.24001,0.560486293,30.0,0.4,4099.057069088916,2629.7339312618756,1056.0,0.706827309236947,0.09670564882617,0.444327120898382,47.060965569116064,11.205094241630244,0.003597230557856
1400000US25025010405,25025010405,"Census Tract 104.05, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,6266,696,3596,424,4335,615,801,290,1197,236,1131,473,7.27071753424658,58.24791,0.560413082,30.0,0.4,4114.842391363636,3697.3719980966,549.0,0.577287066246056,0.098663777776302,0.4425659731789,47.59247670104772,12.739206781892896,0.003381798803006
1400000US25025010408,25025010408,"Census Tract 104.08, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,1350,185,904,181,928,182,176,113,233,73,115,48,7.2572602739726,58.16424,0.550178982,30.0,0.4,4299.194226,1891.049333,660.0,0.723684210526315,0.096619477,0.354905665,52.1068324,37.71714407,0.004631883
1400000US25025010500,25025010500,"Census Tract 105, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3461,477,1923,297,2307,493,491,224,624,141,779,428,7.25464547945205,58.34676,0.601936701,30.0,0.4,3976.942530991744,6692.384801913313,1001.0,0.478489483747609,0.092931954570691,0.473677627211558,48.9272055832095,4.510745461754386,0.00416935724871
1400000US25025010600,25025010600,"Census Tract 106, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,3149,412,2133,353,2197,376,276,159,651,232,214,131,7.24539260273973,58.40318,0.648738961,30.0,0.4,3890.509457155285,6638.174498131481,558.0,0.20057512580877,0.08945843788212,0.469703366741287,51.135218944346846,1.734538943697648,0.004751299911873
1400000US25025010701,25025010701,"Census Tract 107.01, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2367,327,1854,261,1988,289,139,89,329,119,105,65,7.24218739726027,58.3574,0.663875515,30.0,0.4,3953.9215991643728,5064.257849037357,1368.0,0.878612716763005,0.088249398449076,0.391173793108927,53.07734890723948,0.311975763340543,0.007358424329139
1400000US25025010702,25025010702,"Census Tract 107.02, Suffolk County, Massachusetts",Massachusetts,MA,Suffolk,1,2480,314,2077,271,2200,291,40,35,191,113,198,106,7.2320898630137,58.43979,0.688955468,30.0,0.4,3786.2121040756015,5136.930818710482,1475.0,0.854577056778679,0.085119369847079,0.458096738432131,52.42255926843643,4.055405567988832,0.007378831756014
